 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,,,Al At%,Cu At%,Mg At%,Fe At%,Mn At%,Si At%,O At%,,Type
107,72,"585,500","345,306","33,799",579,342,13,7,0.792,"13,928",579,347,"21,038","7,000","1,930",0.518,0.894,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
108,13,"1,049,115","349,885","11,899",1047,348,4,4,"1,000","5,000",1047,351,"36,870","4,000","1,159",0.863,0.897,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
109,19,"150,500","351,500","15,314",148,349,5,5,"1,000","5,831",149,349,"120,964","4,919","1,179",0.848,0.864,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
110,34,"1,583,853","353,735","21,556",1580,351,8,6,0.919,"8,246",1580,352,"165,964","6,000","1,235",0.810,0.861,,,84.61086982,7.55957272,4.941894589,0,0,0.26998474,2.617678131,,Unknown
111,50,"851,360","367,900","27,799",846,364,11,7,0.813,"12,083",846,365,"155,556","6,791","1,881",0.532,0.847,,,58.41618101,21.14044109,18.60358816,0,0.12569992,0,1.714089818,,S-phase
112,29,"1,588,914","368,948","19,314",1586,366,6,6,0.977,"7,211",1587,366,"123,690","6,000","1,107",0.903,0.892,,,76.21353626,12.07194742,9.062608094,0.092240286,0,0.230600715,2.32906722,,Unknown
113,172,"1,341,698","374,849","56,426",1334,368,18,16,0.679,"18,248",1334,371,"170,538","15,446","1,088",0.919,0.843,,,80.93190681,10.50894911,1.199880012,3.839616038,1.01989801,0.149985001,2.349765023,,Secondary
114,11,"1,689,955","370,136","11,314",1688,368,4,4,"1,000","4,472",1689,368,"116,565","4,000","1,139",0.878,0.815,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
115,44,"990,364","373,205","24,971",986,369,8,8,0.887,"10,000",986,376,"36,870","7,071","1,543",0.648,0.863,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
116,12,"232,417","377,667","12,485",231,375,3,5,0.967,"5,385",231,380,"68,199","3,000","1,579",0.633,0.889,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
117,184,"294,348","388,250","51,698",286,381,18,14,0.865,"19,698",286,383,"156,038","13,914","1,447",0.691,0.922,,,55.3,22.56,20.33,0.1,0.33,0.29,1.09,,S-phase
118,161,"846,394","392,339","46,627",841,384,11,17,0.931,"18,028",843,384,"109,440","11,000","1,514",0.660,0.953,,,49.5850415,25.49745025,21.72782722,0,0.089991001,0.729927007,2.369763024,,S-phase
119,28,"371,464","397,107","19,314",368,394,6,6,0.943,"7,810",368,399,"39,806","5,814","1,343",0.745,0.903,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
120,42,"382,548","397,262","23,556",378,394,9,6,0.951,"9,220",378,399,"12,529","6,000","1,350",0.741,0.894,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
121,457,"1,259,572","415,375","104,468",1251,395,19,38,0.526,"39,850",1255,433,"72,474","19,000","2,041",0.490,0.820,,,69.29,14.56,0.23,6.79,3.73,1.59,3.81,,Secondary
122,12,"1,593,000","398,500","11,657",1591,397,4,3,"1,000","5,000",1591,397,"143,130","3,000","1,333",0.750,"1,000",,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
123,33,"177,439","403,076","20,728",175,399,5,8,0.965,"8,544",176,399,"110,556","5,000","1,516",0.660,0.917,,,80.4,11.9,0.86,3.17,0.89,0.21,2.57,,Secondary
124,169,"369,725","411,932","67,255",362,403,17,20,0.470,"21,190",371,423,"70,710","15,149","1,426",0.701,0.743,,,72.07089926,17.06388945,0,4.916883637,1.912677749,0.210294412,3.825355498,,Secondary
125,29,"1,415,362","406,466","20,142",1412,403,7,6,0.898,"7,810",1413,403,"129,806","6,000","1,347",0.742,0.853,,,88.28,5.04,1.7,1.16,0.62,0.41,2.79,,Secondary
126,26,"448,538","408,385","18,142",446,405,5,7,0.993,"7,280",448,412,"74,055","5,000","1,349",0.742,0.881,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
127,43,"466,570","419,244","31,799",463,413,7,12,0.534,"13,416",464,425,"63,435","5,632","3,101",0.322,0.748,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
128,28,"979,179","422,714","19,556",976,419,6,7,0.920,"7,810",976,425,"39,806","5,657","1,447",0.691,0.848,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
129,51,"1,671,873","423,931","26,971",1667,420,9,8,0.881,"10,000",1668,427,"36,870","7,155","1,375",0.727,0.879,,,68.77502002,15.72257806,14.13130504,0,0.190152122,0,1.180944756,,S-phase
130,67,"1,427,679","434,291","40,284",1423,426,10,14,0.519,"16,643",1423,426,"122,735","7,374","2,519",0.397,0.757,,,84.35,7.44,1.4,2.2,1.68,0.83,2.1,,Secondary
